Name,Address,Score
太子小廚餐廳,青山公路葵涌段432-436A1-B1鋪,3.3
和豐飯堂,葵涌打磚坪街58-76號,0
珍珍美食,葵涌圍乪街6號,3.7
戶戶餸,尖沙咀柯士甸路15B號,4.3
密密食,尖沙咀樂道19號,3.9
岱民西貢店,西貢海傍廣場2號地下,3.7
佳記美食,西環皇后大道西484號新安大樓地下M號舖,4.5
岱民石塘咀店,皇后大道西425G號,5
岱民西環店,德輔道西220號,0
海悅華宴,石塘咀山道16號,3.3
添飯餸,德輔道西366號,0
興旺廚房,西環皇后大道西302號,3.5
興華小廚,正街26號,4.4
大廚家餸,筲箕灣筲箕灣道33-55號,5
良記美食,西灣河筲箕灣道57-87號,3.3
滋味屋,西灣河筲箕灣道57-87號,3.4
一龍蝦兩餸王,文蔚街7號,5
三餸一湯,佐敦寶靈街8號,4
羽澂午餐店,寶靈街42-46號,0
佳記美食,上海街88號,3.6
岱民佐敦店,文苑街9號,1.8
岱民廟街店,佐敦廟街184號,4.2
金龍福食,佐敦寶靈街17號,3
聚友會,佐敦德興街9-10號,3.8
權發小廚,彌敦道317號,4.2
岱民愛民店,何文田忠孝街,0
茶皇殿,九龍何文田佛光街80號,3.4
岱民利東店,鴨脷洲利東邨道5號,0
加餸堂,將軍澳培成里10號,0
家餸小廚,將軍澳常寧路2號,3.8
德利美食,,0
一田超市,沙田沙田正街2-8號,3.9
加餸堂,大圍盛田街1號,0
加餸堂,沙田橫壆街1號,1.3
那萊泰麵,沙田德厚街3號,0
岱民乙明店,沙田乙明邨街3號,2.8
岱民瀝源店,沙田瀝源街6號,0
金沙角冰室,沙角邨熟食中心,3.4
美味小廚,沙田小瀝源路68號,0
素回家,沙田牛皮沙街2號,0
新廣發,沙田沙角街博康邨博裕樓,3.4
龍記廚房,新界沙田沙角街5號,3.2
I Tasty 愛味道,科技大道西17號,4.1
和平美食,九龍觀塘秀茂坪秀明道101號,5
茶皇殿,觀塘秀茂坪安秀道,3.2
人人有飯開,旺角旺角道18-20A號,4.8
山頂燒鵝,弼街53號,3.3
包點皇者,旺角新填地街405號地下,5
岱民旺角店,通菜街20號,5
林興飯店,旺角花園街130號,0
金華冰廳,旺角弼街45-47號,3.8
喜洋洋美食,上海街494號,4
喜聚火鍋雞煲專門店,旺角豉油街126號,3.6
富膳飯店,九龍海庭道8號,5
廣潤美食,旺角亞皆老街64-70號,0
廣潤美食,旺角亞皆老街15號,0
十足風味,東涌海濱路8號,3.7
六十年代,東涌逸東街8號,3.3
德興小廚,東涌怡東路8號,1.3
Taste,東涌達東路20號,4
三洋美食,窩打老道13號,3.5
星廚,油麻地鴉打街58號,0
富膳飯店,油麻地彌敦道521號,3.8
